index,uri,danceability,acousticness,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood,mood_string
0,spotify:track:08bNPGLD8AhKpnnERrAc6G,0.626,0.205,0.88,0,9,0.128,-2.384,0,0.0504,95.079,4,0.534,0,energetic
1,spotify:track:5XMkENs3GfeRza8MfVAhjK,0.741,0.00781,0.798,0,5,0.0232,-5.342,0,0.0718,104.953,4,0.939,0,energetic
2,spotify:track:1vnnXMrBeEWiRg3YCMCjQq,0.649,0.226,0.798,0,2,0.0711,-4.346,1,0.178,177.899,4,0.857,0,energetic
3,spotify:track:4KYD3RjwErvhpGxudM6D1E,0.761,0.215,0.727,0,1,0.264,-6.281,1,0.0288,106.025,4,0.83,0,energetic
4,spotify:track:222B3aljXx6fFwKmFjuBED,0.754,0.177,0.854,0,5,0.0808,-3.449,0,0.0608,75.002,4,0.8,0,energetic
5,spotify:track:1s6v6PYcoiHn2Yai8B4Mfd,0.853,0.0436,0.911,0.00571,11,0.287,-6.722,0,0.125,131.012,4,0.802,0,energetic
6,spotify:track:7GQi9RnjrD34tEgbP4f99E,0.696,0.075,0.817,0,1,0.187,-3.862,1,0.109,98.064,4,0.782,0,energetic
7,spotify:track:7COfe3P7KgfwDwIRB8LIDw,0.548,0.0168,0.704,2.25E-05,11,0.143,-4.838,0,0.0777,104.666,4,0.288,0,energetic
8,spotify:track:1flOkQIJUm6j8XluuFEJCy,0.32,0.0122,0.84,0,5,0.379,-3.749,0,0.0547,198.047,4,0.577,0,energetic
9,spotify:track:0xmWQKzc5m9rLv2ucDWxwD,0.363,0.00183,0.914,0,11,0.335,-2.899,0,0.0983,177.968,4,0.678,0,energetic
10,spotify:track:4rOODw637hsmsq0uzT0DN3,0.659,0.406,0.821,0,9,0.114,-2.215,0,0.0468,161.983,4,0.353,0,energetic
11,spotify:track:0RzT9tBLcQhofW2TNiHP9B,0.689,0.00776,0.771,0,5,0.521,-3.618,1,0.0548,157.052,4,0.482,0,energetic
12,spotify:track:7I0vl97TYZW86qYdgcD1qu,0.82,0.157,0.842,0,7,0.112,-3.853,1,0.272,107.952,4,0.653,0,energetic
13,spotify:track:1BiXkuVBXz9IzP7210Zo9I,0.443,0.0215,0.978,0,2,0.0545,-1.736,1,0.145,129.987,4,0.114,0,energetic
14,spotify:track:3ihf9gTcRUz7EvkFnoh5TW,0.613,0.214,0.785,0,1,0.209,-3.706,1,0.253,172.194,4,0.787,0,energetic
15,spotify:track:6k67RdkVjTZj79c1cRz7IQ,0.572,0.0503,0.964,0,4,0.372,-1.949,0,0.123,129.979,4,0.519,0,energetic
16,spotify:track:0QIRm9sUkGnezGznkWCqCo,0.694,0.0192,0.832,0,5,0.355,-3.038,0,0.0598,135.011,4,0.424,0,energetic
17,spotify:track:0cCm1PbOd6nqAPDdA3PRfs,0.711,0.0044,0.885,0,5,0.207,-3.299,0,0.0477,121.978,4,0.866,0,energetic
18,spotify:track:3S1kjfaJzTO5isa6WFwevE,0.799,0.0124,0.726,0.00142,5,0.0866,-4.749,1,0.0615,126.002,4,0.449,0,energetic
19,spotify:track:2Ubw4Bs0yzYm4vtPTvtFwQ,0.615,0.00201,0.919,0.687,11,0.196,-4.999,1,0.0367,127.991,4,0.225,0,energetic
20,spotify:track:5zwBmW0IbXpIA84cVHDGhe,0.634,0.048,0.927,0.687,1,0.0864,-3.282,1,0.136,128.016,4,0.35,0,energetic
21,spotify:track:5b8FtevTVz8xVF6E208xeV,0.764,0.0109,0.886,2.21E-05,1,0.325,-3.067,1,0.177,102.012,4,0.497,0,energetic
22,spotify:track:4lQsB3ERTWSNaAN1IkuNRl,0.668,0.036,0.828,0,4,0.0932,-5.034,0,0.0739,140.042,4,0.393,0,energetic
23,spotify:track:6veFyjNycn6EaNCKhkPXUY,0.605,0.0414,0.949,0,4,0.0746,-2.907,1,0.0886,110.01,4,0.506,0,energetic
24,spotify:track:13MF2TYuyfITClL1R2ei6e,0.661,0.00268,0.836,0,5,0.497,-3.164,0,0.059,124.952,4,0.396,0,energetic
25,spotify:track:4SFknyjLcyTLJFPKD2m96o,0.812,0.0465,0.761,0.000135,11,0.0601,-5.222,1,0.0812,130.032,4,0.344,0,energetic
26,spotify:track:1e8J3XClxZbFmvIHLI8CE4,0.733,0.00481,0.855,0,9,0.123,-3.211,1,0.118,126.035,4,0.42,0,energetic
27,spotify:track:26OVhEqFDQH0Ij77QtmGP9,0.702,0.0514,0.913,3.72E-06,11,0.166,-2.977,1,0.0374,137.981,4,0.735,0,energetic
28,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,0.746,0.0112,0.765,0,6,0.0936,-4.41,0,0.0993,114.044,4,0.737,0,energetic
29,spotify:track:7uQZVznj0uQOGC9KhV2Mg6,0.806,0.0282,0.653,0.000784,8,0.107,-6.283,1,0.0902,150.058,4,0.85,0,energetic
30,spotify:track:2cUzIBGMvx2BZ2Q1fzjdl1,0.743,0.0198,0.689,0,7,0.708,-2.846,1,0.0289,104.936,4,0.504,0,energetic
31,spotify:track:4ecVWqbtW6phQGpZMAyqIU,0.776,0.155,0.911,2.59E-06,2,0.268,-3.08,0,0.131,101.027,4,0.56,0,energetic
32,spotify:track:3omvXShuRPM3zbDpWYqf5g,0.739,0.0312,0.841,0,5,0.173,-4.162,1,0.06,106.99,4,0.562,0,energetic
33,spotify:track:37ZtpRBkHcaq6hHy0X98zn,0.657,0.121,0.88,0,10,0.463,-3.672,0,0.102,150.084,4,0.769,0,energetic
34,spotify:track:7lB4rxNVc7vm33ZSZXVRAQ,0.551,0.139,0.885,0,6,0.114,-1.489,1,0.124,172.95,4,0.509,0,energetic
35,spotify:track:5eXBXreN3d1zdj6Sa8dS0u,0.702,0.00544,0.741,0,9,0.337,-5.33,1,0.0427,124.925,4,0.646,0,energetic
36,spotify:track:0Vu5tjvXZX3qtzRiezxLi1,0.683,0.00195,0.685,0,7,0.0582,-5.381,1,0.0425,129.993,4,0.381,0,energetic
37,spotify:track:2pePK7PBUDcnmjhrNk26Gp,0.768,0.0177,0.832,0,1,0.122,-6.125,1,0.0531,115.027,4,0.914,0,energetic
38,spotify:track:4rv92w93ROUPu0ljeiNMoj,0.68,0.0865,0.797,0,2,0.297,-4.175,0,0.032,116.957,4,0.336,0,energetic
39,spotify:track:2bZIDMpzVooosmPHn0tHnd,0.605,0.313,0.805,0,6,0.659,-3.212,1,0.0641,148.298,4,0.738,0,energetic
40,spotify:track:1ZKj8dOHp1gaOE9BGvyWWU,0.676,0.0466,0.89,0,8,0.172,-3.378,1,0.112,118.06,4,0.722,0,energetic
41,spotify:track:332GJ8ykVuEt3jOT1sy7j6,0.545,0.0261,0.803,0,1,0.114,-2.283,1,0.0526,170.006,4,0.5,0,energetic
42,spotify:track:2oO9xKPU8vkd02W3yOhv5v,0.579,0.0783,0.938,0,1,0.385,-3.136,1,0.223,157.02,4,0.632,0,energetic
43,spotify:track:2AIWoHr9DF6y4KALCBKWQS,0.734,0.00481,0.855,0,9,0.123,-3.211,1,0.118,126.035,4,0.422,0,energetic
44,spotify:track:55Md5fnLfCpXzUATASy6Rk,0.613,0.0599,0.868,0,6,0.352,-2.792,0,0.143,165.133,4,0.394,0,energetic
45,spotify:track:6gorwqDJ7bsdCHcVs5uS9u,0.683,0.0754,0.893,0,5,0.226,-3.086,0,0.162,146.082,4,0.909,0,energetic
46,spotify:track:3utoyXrzB3d8ahf4tqazTs,0.62,0.163,0.906,0,2,0.214,-2.951,0,0.139,154.002,4,0.884,0,energetic
47,spotify:track:3JQpHo7uX0O2IjC6BRpS2o,0.527,0.0134,0.891,0,4,0.386,-1.654,1,0.192,150.914,4,0.621,0,energetic
48,spotify:track:0zwI1aFLA85Ux0wM9vZjjY,0.599,0.00708,0.94,0,2,0.246,-3.13,1,0.112,87.514,4,0.661,0,energetic
49,spotify:track:6rYoO4mP8czbTTyOz4BAzm,0.595,0.0385,0.93,0,1,0.253,-2.121,1,0.099,151.996,4,0.462,0,energetic
50,spotify:track:2PsuktMveOXllYMbAy5dEj,0.714,0.00983,0.884,0,11,0.439,-2.932,1,0.113,145.074,4,0.584,0,energetic
51,spotify:track:4hrpoqJMVE7FxBu1YWx0eQ,0.594,0.00181,0.946,1.04E-06,8,0.923,-3.408,1,0.126,110.024,4,0.665,0,energetic
52,spotify:track:4z9gBZQjGS4QLb4LOvmeuA,0.627,0.00227,0.706,0,10,0.122,-3.201,0,0.0597,99.93,4,0.536,0,energetic
53,spotify:track:7ehFSpcDs3PBExiLPwXQP9,0.54,0.00589,0.929,4.01E-06,7,0.424,-2.646,1,0.278,176.023,4,0.624,0,energetic
54,spotify:track:5sbooPcNgIE22DwO0VNGUJ,0.566,0.0183,0.769,0,7,0.108,-4.342,1,0.0872,170.036,4,0.385,0,energetic
55,spotify:track:6u8iBHK8aKQNBWLpUk5WTL,0.742,0.0683,0.839,0,2,0.06,-4.017,1,0.109,123.94,4,0.504,0,energetic
56,spotify:track:79NmwJEiY9maHX8djC3FN7,0.598,0.112,0.887,0,1,0.303,-3.976,0,0.0737,126.007,4,0.332,0,energetic
57,spotify:track:2pmbxzWBNM6j5p9CQH32f1,0.71,0.0654,0.945,0,5,0.111,-1.682,0,0.07,98.032,4,0.716,0,energetic
58,spotify:track:06vXZ4guKCWbhPtenXWESL,0.468,0.0121,0.789,0,0,0.409,-4.005,0,0.278,103.528,5,0.335,0,energetic
59,spotify:track:5uHl2eYaITSX6xEX8bmaXy,0.633,0.000587,0.706,0.0795,10,0.245,-5.137,0,0.0627,128.187,4,0.399,0,energetic
60,spotify:track:4TiKZrN7gtc62SUiufpFCM,0.579,0.0272,0.896,1.02E-06,10,0.352,-2.781,0,0.224,153.991,4,0.678,0,energetic
61,spotify:track:2pSOUHBQXkN3fS2TAJHhfR,0.621,0.0194,0.873,0,11,0.488,-2.888,0,0.103,169.91,4,0.401,0,energetic
62,spotify:track:7Cd4glTUgV0vr0DBncEg8S,0.7,0.0148,0.873,0,1,0.343,-2.901,1,0.0869,99.968,4,0.612,0,energetic
63,spotify:track:67LJNZyfDA1uaPCtlpyuKN,0.515,0.00816,0.816,0,10,0.351,-2.33,1,0.165,78.169,4,0.288,0,energetic
64,spotify:track:3ZyFCJ9UXgUcy9r094DVsc,0.751,8.61E-05,0.577,0,11,0.0976,-4.126,1,0.0584,110.073,4,0.367,0,energetic
65,spotify:track:3CyCjgTHFzqucmECajq8QA,0.692,0.0457,0.881,4.26E-06,11,0.146,-2.563,0,0.0461,103.055,4,0.433,0,energetic
66,spotify:track:3Hd6zm1J4bVeu4VXwaDQL3,0.686,0.0474,0.902,1.02E-06,6,0.201,-3.78,0,0.163,149.96,4,0.615,0,energetic
67,spotify:track:1UlQ63O5HmXs9ytQ0cZK2G,0.594,0.116,0.83,0,4,0.356,-4.302,0,0.107,80.031,4,0.649,0,energetic
68,spotify:track:0H4ugk6rhnXmTl47ayy9O5,0.65,0.0229,0.827,0,8,0.121,-4.014,1,0.0599,144.995,4,0.223,0,energetic
69,spotify:track:3vAn0qZzdyuHamcrpkfiX3,0.828,0.0694,0.782,3.41E-05,11,0.0544,-4.014,1,0.0918,130.013,4,0.351,0,energetic
70,spotify:track:4WuKHgxdCJsaOBIh7yndty,0.563,0.00911,0.979,0,9,0.249,-3.104,1,0.104,126.063,4,0.503,0,energetic
71,spotify:track:1XnpzbOGptRwfJhZgLbmSr,0.701,0.00886,0.556,0.000122,9,0.106,-7.42,0,0.0414,152.045,4,0.333,0,energetic
72,spotify:track:5TihMV3QFAb218Pq7QxPGg,0.711,0.11,0.86,0,0,0.406,-2.542,1,0.0706,140.073,4,0.336,0,energetic
73,spotify:track:26EM9sZnQkLLQxixGd88KE,0.819,0.00767,0.844,0.00834,0,0.056,-3.739,1,0.038,127.997,4,0.687,0,energetic
74,spotify:track:2U6RSyXFnDVNYoD9iUgi09,0.76,0.0677,0.842,0.000123,6,0.313,-5.558,1,0.131,102.987,4,0.882,0,energetic
75,spotify:track:5iIpbD34k4wnuRMZDNnuWf,0.883,0.0161,0.845,0.00157,11,0.29,-2.069,1,0.0585,116.004,4,0.656,0,energetic
76,spotify:track:3VHrwffnUZFb7FidvPV3OA,0.738,0.32,0.861,0.00175,2,0.325,-4.141,1,0.237,131.974,4,0.58,0,energetic
77,spotify:track:5trVbkxq7o5UtqHWVTu5ro,0.675,0.0315,0.952,0,1,0.646,-3.124,1,0.19,106.037,4,0.586,0,energetic
78,spotify:track:1duKu1GCPPtE9cvCOBQ2aK,0.614,0.14,0.899,0,9,0.123,-2.513,1,0.107,151.903,4,0.318,0,energetic
79,spotify:track:2V4Fx72svQRxrFvNT1eq5f,0.676,0.0215,0.857,0,10,0.254,-4.368,0,0.0438,149.981,4,0.717,0,energetic
80,spotify:track:4knqZHNHlEBBEmfETcpTyr,0.695,0.0733,0.921,0,3,0.0789,-2.699,1,0.0848,119.971,4,0.642,0,energetic
81,spotify:track:0uIw1c0E2nyFWWwEVzhl30,0.619,0.0865,0.908,0,9,0.131,-3.97,0,0.2,130.056,4,0.671,0,energetic
82,spotify:track:308Ir17KlNdlrbVLHWhlLe,0.808,0.0899,0.903,0,9,0.0816,-2.179,1,0.0729,120.044,4,0.922,0,energetic
83,spotify:track:4Is1b37KJY9XVCgzp81FBW,0.725,0.115,0.94,0.00431,5,0.0864,-2.32,0,0.0435,127.051,4,0.905,0,energetic
84,spotify:track:0BJMgVrnWIvgYsjq8KaPeh,0.786,0.0487,0.858,0,11,0.126,-3.74,1,0.0675,112.999,4,0.649,0,energetic
85,spotify:track:3dbLT62Cvs46Ju7a8gpr36,0.727,0.124,0.879,1.17E-05,9,0.244,-1.167,1,0.129,146.959,4,0.671,0,energetic
86,spotify:track:4ZxOuNHhpyOj4gv52MtQpT,0.786,0.0687,0.852,0,8,0.0759,-2.687,1,0.0813,125.036,4,0.455,0,energetic
87,spotify:track:6tCssnvTUREcperDOUTqvA,0.809,0.00795,0.911,0.000179,6,0.181,-4.41,0,0.0617,122.035,4,0.64,0,energetic
88,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.0589,0.626,6.00E-05,1,0.396,-5.833,1,0.125,91.03,4,0.35,0,energetic
89,spotify:track:4DYIDSMIB5y2UmZFv9fxeX,0.709,0.106,0.861,4.73E-05,0,0.113,-2.905,1,0.0941,118.089,4,0.779,0,energetic
90,spotify:track:5EzitieoPnjyKHAq0gfRMa,0.749,0.0319,0.85,4.81E-05,0,0.0678,-4.346,1,0.0468,145.983,4,0.672,0,energetic
91,spotify:track:71C0EL3xDpzQ6vPszFC5kF,0.731,0.127,0.991,3.12E-05,11,0.297,-3.624,0,0.0376,128.038,4,0.97,0,energetic
92,spotify:track:6NOr8cgPT3HcdjhqB8sbLI,0.877,0.024,0.807,0,1,0.133,-8.005,1,0.206,145.988,4,0.882,0,energetic
93,spotify:track:7jEyX4bqaCSdMN4D4JNnVj,0.738,0.101,0.794,0,11,0.0533,-4.118,0,0.0416,104.014,4,0.566,0,energetic
94,spotify:track:0lUSd7TCG8srh6HpIAEIWL,0.566,0.0372,0.855,0.000157,7,0.181,-4.016,1,0.211,172.966,4,0.517,0,energetic
